time,lat,lon,alt,vn,ve,vd,GPS_TOW,theta,p_bias,q_bias,r_bias,ax_bias,ay_bias,az_bias,navvd,anomaly
150.02,44.72581399470187,-93.0754862276978,268.0209045410156,-1.6620706,-15.549529,-4.424417,223133.0,0.5424483,0.00973095,0.0064648045,0.033728834,-0.16932052,-0.2801697,-0.12570615,-3.85056,False
150.04,44.72581399470187,-93.0754862276978,268.0209045410156,-1.6620706,-15.549529,-4.424417,223133.0,0.5398908,0.00973095,0.0064648045,0.033728834,-0.16932052,-0.2801697,-0.12570615,-3.8185246,False
150.06,44.72581399470187,-93.0754862276978,268.0209045410156,-1.6620706,-15.549529,-4.424417,223133.0,0.5374963,0.00973095,0.0064648045,0.033728834,-0.16932052,-0.2801697,-0.12570615,-3.7873573,False
150.08,44.72581399470187,-93.0754862276978,268.0209045410156,-1.6620706,-15.549529,-4.424417,223133.0,0.5350534,0.00973095,0.0064648045,0.033728834,-0.16932052,-0.2801697,-0.12570615,-3.7528627,False
150.1,44.72581399470187,-93.0754862276978,268.0209045410156,-1.6620706,-15.549529,-4.424417,223133.0,0.53266174,0.00973095,0.0064648045,0.033728834,-0.16932052,-0.2801697,-0.12570615,-3.7201645,False
150.12,44.72581399470187,-93.0754862276978,268.0209045410156,-1.6620706,-15.549529,-4.424417,223133.0,0.53014433,0.00973095,0.0064648045,0.033728834,-0.16932052,-0.2801697,-0.12570615,-3.6850247,False
150.14,44.72581399470187,-93.0754862276978,268.0209045410156,-1.6620706,-15.549529,-4.424417,223133.0,0.5277329,0.00973095,0.0064648045,0.033728834,-0.16932052,-0.2801697,-0.12570615,-3.649039,False
150.16,44.72581399470187,-93.0754862276978,268.0209045410156,-1.6620706,-15.549529,-4.424417,223133.0,0.5253854,0.00973095,0.0064648045,0.033728834,-0.16932052,-0.2801697,-0.12570615,-3.6112578,False
150.18,44.72581399470187,-93.0754862276978,268.0209045410156,-1.6620706,-15.549529,-4.424417,223133.0,0.5231456,0.00973095,0.0064648045,0.033728834,-0.16932052,-0.2801697,-0.12570615,-3.5759153,False
150.2,44.72581399470187,-93.0754862276978,268.0209045410156,-1.6620706,-15.549529,-4.424417,223133.0,0.52093357,0.00973095,0.0064648045,0.033728834,-0.16932052,-0.2801697,-0.12570615,-3.5411477,False
150.22,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.5289585,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.6467543,False
150.24,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.52695817,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.614606,False
